GraphID,Vertices,Edges,Algorithm,Cost,TimeMS,Operations
1,4,4,Kruskal,92,1,17
1,4,4,Prim,92,0,24
2,5,7,Kruskal,25,0,24
2,5,7,Prim,25,0,35
3,6,9,Kruskal,45,0,42
3,6,9,Prim,45,0,47
4,10,22,Kruskal,311,0,121
4,10,22,Prim,311,0,107
5,12,26,Kruskal,302,0,141
5,12,26,Prim,302,0,119
6,15,31,Kruskal,404,0,171
6,15,31,Prim,404,0,151
7,20,47,Kruskal,842,0,236
7,20,47,Prim,842,0,221
8,25,60,Kruskal,1423,0,391
8,25,60,Prim,1423,0,291
9,30,65,Kruskal,1416,0,404
9,30,65,Prim,1416,0,320
